codec,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,n_parts,git_shas,docker_image_ids,hmm_rs_versions,channel_coverage_sigma
mahoraga,lofi,10.0,30,30,1.0,11.72,6.992,0.0,945,0.7825,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,4dabcd21ed3d,0.1.0,0.3
mgcplus,hifi,0.02,30,0,0.0,2641.15,0.688,0.387,42,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,03309c68633d|11cfdd19c76a|493758231241|54b6afb96dd7|62d7c731f725|826174cce61a|8c7941e220c3|c3c19b8ce803|c7057486573f|d11ede49f441,0.1.0,0.3
mgcplus,hifi,0.05,30,0,0.0,1056.46,0.796,0.551,103,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,052a38a9015a|17556aa50e4d|2acc907a6674|39ebfff73d25|4e84ed580bf6|71108e2d02d3|72707d81d9a8|b958832dc37b|ce2bcab61c8e|f1c0f511ca56,0.1.0,0.3
mgcplus,hifi,0.1,30,0,0.0,528.23,0.925,0.751,210,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,087bc2f953f6|092c56567884|1efb5943413d|35d52ec9a141|363e7508ce78|8411b551a96c|89d2357ff144|a0b458e4095d|aeb02367f6b7|c737f9deb0b6,0.1.0,0.3
mgcplus,hifi,0.2,30,0,0.0,264.11,1.266,1.16,383,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,100c4ecac612|276df682ac9f|281c2e8e2396|3826f4e48511|56afbfdcaba4|8b2d85866efa|ca4813b76302|d7ab20f1d56b|edecaa6ebb7d|f805df88af05,0.1.0,0.3
mgcplus,hifi,0.3,30,0,0.0,176.08,1.631,1.581,555,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,0cbab7b4859d|3f5e0bb702cb|4811921fb264|4cd42cda26d6|6d865d4e652f|7861cea0f642|c111cd197bfc|cb88c517dbae|e5436dc0e63d|f53e857c4198,0.1.0,0.3
mgcplus,hifi,0.5,30,0,0.0,105.65,2.197,2.205,839,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,0020f1701807|223abbadd526|2b4ea9461d92|67b460625661|768f96d8ce7d|874a04e96e57|8e1513e88143|c34694089d22|e3cc6f7dd8cf|e96ea0e8f343,0.1.0,0.3
mgcplus,hifi,1.0,30,30,1.0,52.82,5.161,3.451,1332,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,7a08698db14e,0.1.0,0.3
mgcplus,hifi,2.0,30,30,1.0,26.41,5.011,4.329,1815,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,11013914705b,0.1.0,0.3
mgcplus,hifi,5.0,30,30,1.0,10.56,5.728,5.569,2133,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1f193451915c,0.1.0,0.3
